wallet_address,credit_score,score_category,base_score,risk_adjusted_score,total_transactions,total_volume,tenure_days,liquidation_count,repay_consistency_score
0x00120ea6fdbaf057eadc1bd149f957488444e92c,757.7348793949631,Good (700-899),543.058555015745,597.3644105173196,4,236759895699127.94,0,0,1.0
0x0012668072f7e0579caf7e047713d8b6d476d0db,629.039438068632,Fair (500-699),501.9130809332603,552.1043890265863,2,3000000000000.0,2,0,1.0
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,97.1502784562794,Very Poor (0-299),474.0882081916062,365.0479203075368,231,1.7352579900935718e+16,62,2,0.1895791651761689
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,579.4914310937368,Fair (500-699),486.07198962642144,534.6791885890636,1,5000954281.830769,0,0,1.0
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,579.4927969217872,Fair (500-699),486.0724262980088,534.6796689278098,1,92600000000.0,0,0,1.0
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,632.0142407026514,Fair (500-699),502.86416096699804,553.1505770636979,2,2.455392,6,0,1.0
0x0014dfac19477a83d7354e6eaac28642c1959398,878.3138103257135,Good (700-899),581.6090835066857,639.7699918573543,36,339869397948920.7,30,0,1.0
0x001589fe1923c2118f34e4277f2ef650fcbf0161,701.2591878259794,Good (700-899),525.0025999656373,577.502859962201,30,7256240719456008.0,132,0,0.0
0x00159370cbe576b765a7fb2e78582e0cb563d445,546.6689967276096,Fair (500-699),475.5782642184553,523.1360906403008,19,2986625430944594.5,20,0,0.0
0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,641.5599335957943,Fair (500-699),505.91603332149936,556.5076366536493,2,28.254528,0,0,1.0
0x0016469a65facda9e86fd0ae0e9661128843c224,453.5789599264249,Poor (300-499),445.81626443768266,490.39789088145096,2,27100000000.0,0,0,0.0
0x0016dcd1d3c93067dce5bb30dc33258f36d33308,579.4928546114999,Fair (500-699),486.0724447421009,534.6796892163111,1,96300000000.0,0,0,1.0
0x00183135585d70a523d61b2e43037a7138b36906,737.3764037413341,Good (700-899),536.5497064991822,590.2046771491005,54,3595417828344362.5,57,0,0.0004512168912235845
0x00184e8aa1e95f491f2d9601e12b540092160ded,784.5671417250296,Good (700-899),551.6371506745976,606.8008657420575,4,326700000000000.0,0,0,1.0
0x0018583d7654803d2c59467e10dec5f70bbe1851,747.8084540881578,Good (700-899),539.8849579482527,593.873453743078,72,260000000.00045997,22,0,1.0
0x001875a076b3cfe1c9535d76b0345c16e3d61118,633.5027351328712,Fair (500-699),503.34005046525334,553.6740555117788,2,2.2,5,0,1.0
0x0018d044b946ede86b43bb3b964a45772a5abeb9,881.6959454748745,Good (700-899),582.6903926244687,640.9594318869156,22,29416040342014.43,53,0,1.0
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,762.5911644030472,Good (700-899),544.611167500523,599.0722842505754,5,187368668395485.38,14,0,1.0
0x0019bd9f6142943f3a03a8a62d0001a95213f555,579.4929123012124,Fair (500-699),486.0724631861931,534.6797095048124,1,100000000000.0,0,0,1.0
0x001b024b98ee862aa01eea595c4c16a0213d2611,473.80611809179186,Poor (300-499),452.2831291803513,497.51144209838645,2,411897656335.2786,0,0,0.0
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,841.6634315935884,Good (700-899),569.8915184344925,626.8806702779418,32,39147130995675.0,23,0,1.0
0x001bc97d92e1a30b02d4e75be25f06063555d556,346.4281096968713,Poor (300-499),587.9412202657273,452.7147396046101,45,2.1403024302392422e+17,9,0,1.0
